ID,Title,Sku,Parent Product ID,Product Type,Brand,_seopress_analysis_target_kw,_seopress_titles_title,_wp_page_template,_rh_woo_product_layout
3207,Mailster,3207,0,external,EverPress,Mailster Review,"Mailster Plugin Features, reviews and Pricing | Appsfomo",default,global
3209,Tube,3209,0,external,Merkulove,Tube Review,"Tube Plugin Features, reviews and Pricing | Appsfomo",default,global
3211,Agile store locator,3211,0,external,Agilelogix,Agile store locator Review,"Agile store locator Plugin Features, reviews and Pricing | Appsfomo",default,global
3215,Album Stripes,3215,0,external,GalleryCreator,Album Stripes Review,"Album Stripes Plugin Features, reviews and Pricing | Appsfomo",default,global
3217,Mycase,3217,0,external,Egprojets,Mycase Review,"Mycase Plugin Features, reviews and Pricing | Appsfomo",default,global
3223,Google Analytics E-commerce,3223,0,external,E-commerce,Google Analytics E-commerce Review,"Google Analytics E-commerce Plugin Features, reviews and Pricing | Appsfomo",default,global
3225,Woo Commerce Recover Abandoned Art,3225,0,external,FantasticPlugins,Woo Commerce Recover Abandoned Art Review,"Woo Commerce Recover Abandoned Art Plugin Features, reviews and Pricing | Appsfomo",default,global
3227,Popup Container adobe muse widget,3227,0,external,MuseTemplatesPro,Popup Container adobe muse widget Review,"Popup Container adobe muse widget Plugin Features, reviews and Pricing | Appsfomo",default,global
3229,Ultratabs Magento Extension,3229,0,external,NWDthemes,Ultratabs Magento Extension Review,"Ultratabs Magento Extension Plugin Features, reviews and Pricing | Appsfomo",default,global
3233,Powerbanners,3233,0,external,NWDthemes,Powerbanners Review,"Powerbanners Plugin Features, reviews and Pricing | Appsfomo",default,global
3235,Wunderadmin,3235,0,external,NWDthemes,Wunderadmin Review,"Wunderadmin Plugin Features, reviews and Pricing | Appsfomo",default,global
3239,Magneto installer/duplicator,3239,0,external,NWDthemes,Magneto installer/duplicator Review,"Magneto installer/duplicator Plugin Features, reviews and Pricing | Appsfomo",default,global
3241,Newsletter popup for magneto,3241,0,external,Nardo2010,Newsletter popup for magneto Review,"Newsletter popup for magneto Plugin Features, reviews and Pricing | Appsfomo",default,global
3583,Yoast SEO,3583,0,external,Consofas,Yoast SEO Review,"Yoast SEO Plugin Features, reviews and Pricing | Appsfomo",default,global
