Title,ID,Post Type,Product Type,Parent Product ID,Regular Price,Sale Price,Product categories,Brand
Shopify,10797,product,external,0,25,,eCommerce,Shopify
MarTech,10962,product,external,0,,,FB Groups,MarTech Wise
Digitalthink,11028,product,external,0,,,FB Groups,Digital think
Pitchground,11031,product,external,0,,,FB Groups,
Magento,11133,product,external,0,,,eCommerce,
WordPress,11198,product,external,0,0,,Content Management Systems,
User Back,11413,product,external,0,8,,SaaS>Business Tools,RelayThat
7 Zip,11527,product,external,0,,,Apps &amp; Utilities,
Drupal,11620,product,external,0,0,,Content Management Systems,
WP Reset,11694,product,external,0,4.99,,Wordpress Plugins,
WebARX,11772,product,external,0,14.99,,Security,WebARX
Grammarly,13015,product,external,0,11.66,,SaaS>Content creation,
TortoiseGit,13338,product,external,0,,,Apps &amp; Utilities,
ArticleForge,13461,product,external,0,57,,SaaS>Content creation,
Virusdie,13549,product,external,0,15,,Security,
SaaS Mantra,13634,product,external,0,,,FB Groups,
Loginpress,13698,product,external,0,39,,Wordpress Plugins>Forms &amp; Popups,Appsumo
Sucuri,14060,product,external,0,9.99,,Security,
Boei,14377,product,external,0,10,,Wordpress Plugins>Forms &amp; Popups,Appsumo
All In One WordPress Security and Firewall Plugin,14737,product,external,0,0,,Security|Wordpress Plugins>Security Plugin,
Kalium,14747,product,external,0,59,,"Wordpress Themes>Blog / Magazine|Wordpress Themes>Corporate|Wordpress Plugins>E-commerce|Wordpress Themes>e-commerce|eCommerce|Wordpress Themes>Food, Lifestyle &amp; Health|Wordpress Themes>Multipurpose|Wordpress Themes>Page Builder",Themeisle
Meld,14915,product,external,0,0,,Apps &amp; Utilities,
Soledad,15511,product,external,0,59,,"Wordpress Themes>Blog / Magazine|Wordpress Themes>Corporate|Wordpress Themes>e-commerce|Wordpress Plugins>E-commerce|eCommerce|Wordpress Themes>Food, Lifestyle &amp; Health|Wordpress Themes>Multipurpose|Wordpress Themes>Page Builder",
LiveWebinar,15653,product,external,0,11.99,,SaaS>Communication,RelayThat
Essential Addons for Elementor,15862,product,external,0,39.97,,Wordpress Plugins>Page Builder,WP developer
Cartflows,16794,product,external,0,299,239,Wordpress Plugins>E-commerce,
WP Engine,16916,product,external,0,25,,CDN|Hosting|Wordpress Themes>Page Builder|Wordpress Plugins,
Kinsta,17751,product,external,0,30,,Hosting,
Backup Guard,17798,product,external,0,25,,Security|Wordpress Plugins>Security Plugin,
Mailpoet,18134,product,external,0,18,,Wordpress Plugins>Forms &amp; Popups|Wordpress Plugins>Miscellaneous,
Hostinger,18166,product,external,0,1.39,,CDN|Hosting|Wordpress Themes>Page Builder|Wordpress Plugins,
Weje,18413,product,external,0,4,,SaaS>Communication,RelayThat
Autoptimize,18590,product,external,0,0,,Wordpress Plugins>Wordpress Optimization,
WPvivid Backup,19614,product,external,0,69,,Wordpress Plugins>Security Plugin,
Quillbot,20584,product,external,0,4,,SaaS>Content creation,Quillbot
Crove.app,21191,product,external,0,9,,SaaS>Business Tools,Crove.app
Chugzi,21211,product,external,0,97,,SaaS>Content creation,Chugzi™
WPSmartPay,21454,product,external,0,99,,Wordpress Plugins,WPSmartPay
Usetiful,21491,product,external,0,29,,SaaS>Content|Product Management,Usetiful
