ID,Title,Sku,"Post Type","Product Type","Parent Product ID","Regular Price","Sale Price","Product categories",Brand,rank_math_seo_score,Permalink,Date,"External Product URL","Button Text"
3163,Scrapes,,product,external,0,12,,"Wordpress Plugins>Miscellaneous",,,https://appsfomo.com/reviews/scrapes/,2020-07-03,https://codecanyon.net/item/scrapes-web-scraper-plugin-for-wordpress/18918857?ref=Interstellar,"Buy Now"
3167,"Ajax Search Pro",,product,external,0,29,,"Wordpress Plugins>Miscellaneous",,,https://appsfomo.com/reviews/ajax-search-pro/,2020-07-31,https://codecanyon.net/item/ajax-search-pro-for-wordpress-live-search-plugin/3357410,
3177,"WP Data Tables",,product,external,0,299,,"Wordpress Plugins>Page Builder",,12,https://appsfomo.com/reviews/wp-data-tables/,2020-07-25,https://1.envato.market/RyOdJa,"Buy Now"
3183,"Content Egg",,product,external,0,68,,"Wordpress Plugins>Affiliate",WPsoul,13,https://appsfomo.com/reviews/content-egg/,2020-08-02,https://1.envato.market/4ern6M,"Buy Now"
3195,"WordPress Real Media Library",,product,external,0,24,,"Wordpress Plugins>Miscellaneous",,61,https://appsfomo.com/reviews/wordpress-real-media-library/,2020-08-01,https://codecanyon.net/item/wordpress-real-media-library-media-categories-folders/13155134,
3197,"Yellow Pencil",,product,external,0,25,,"Wordpress Plugins>Page Builder",,11,https://appsfomo.com/reviews/yellow-pencil/,2020-07-18,https://codecanyon.net/item/yellow-pencil-visual-css-style-editor/11322180,
3207,Mailster,,product,external,0,59,,"Wordpress Plugins>Social Network &amp; Translation",,11,https://appsfomo.com/reviews/mailster/,2020-07-06,https://codecanyon.net/item/mailster-email-newsletter-plugin-for-wordpress/3078294?ref=Interstellar,"Buy Now"
3291,"Theme X",,product,external,0,29,,"Wordpress Themes>Multipurpose",,,https://appsfomo.com/reviews/x-theme/,2020-07-13,https://1.envato.market/YgqmWm,"Buy Now"
3293,Newspaper,,product,external,0,59,,"Wordpress Themes>Blog / Magazine",tagDiv,,https://appsfomo.com/reviews/newspaper/,2020-07-18,https://1.envato.market/MXDda3,"Buy Now"
3297,The7,,product,external,0,39,,"Wordpress Themes>Corporate",,,https://appsfomo.com/reviews/the7/,2020-07-06,https://1.envato.market/KeqdkA,"Buy Now"
3301,Jupiter,,product,external,0,59,,"Wordpress Themes>Blog / Magazine",,,https://appsfomo.com/reviews/jupiter/,2020-07-12,https://1.envato.market/DVbdDo,"Buy Now"
3307,Publisher,,product,external,0,35,,"Wordpress Themes>Blog / Magazine",,,https://appsfomo.com/reviews/publisher/,2020-07-02,https://betterstudio.com/,
3309,Rehub,,product,external,0,55,,"Wordpress Themes>Blog / Magazine",,,https://appsfomo.com/reviews/rehub/,2020-07-18,https://1.envato.market/5bM0O9,"Buy Now"
3313,Eduma,,product,external,0,69,,"Wordpress Themes>Education &amp; Non profit",,,https://appsfomo.com/reviews/eduma/,2020-07-25,https://themeforest.net/item/education-wordpress-theme-education-wp/14058034,"Buy Now"
3325,Enfold,,product,external,0,59,,"Wordpress Themes>Blog / Magazine",Kriesi,,https://appsfomo.com/reviews/enfold/,2020-07-31,https://1.envato.market/x926AA,"Buy Now"
3327,"Be Theme",,product,external,0,59,,"Wordpress Themes>Corporate",,,https://appsfomo.com/reviews/be-theme/,2020-07-09,https://1.envato.market/rnzNAQ,"Buy Now"
3341,"WYZI- Business Finder",,product,external,0,59,,"Wordpress Themes>Corporate",,,https://appsfomo.com/reviews/wyzi-business-finder/,2020-07-26,https://themeforest.net/item/wyzi-social-business-finder-wordpress-theme/18850856,"Buy Now"
3365,Woffice,,product,external,0,79,,"Wordpress Themes>Corporate",,15,https://appsfomo.com/reviews/woffice/,2020-07-25,https://1.envato.market/4eWxg3,"Buy Now"
3371,WPLMS,,product,external,0,75,,"Wordpress Themes>Education &amp; Non profit",,11,https://appsfomo.com/reviews/wplms/,2020-07-17,https://1.envato.market/NK6v21,"Buy Now"
3373,EducationPress,,product,external,0,59,,"Wordpress Themes>Education &amp; Non profit",,12,https://appsfomo.com/reviews/educationpress/,2020-07-26,https://1.envato.market/MXNvgn,"Buy Now"
3389,Oxygen,,product,external,0,59,,"Wordpress Themes>e-commerce",,12,https://appsfomo.com/reviews/oxygen/,2020-07-23,https://1.envato.market/9WJj2E,"Buy Now"
3430,Thrive,,product,external,0,67,,"Wordpress Themes>Multipurpose",Dunhakdis,,https://appsfomo.com/reviews/thrive/,2020-08-02,https://1.envato.market/KeZvPe,"Buy Now"
3465,Bellevue,,product,external,0,59,,"Wordpress Themes>Corporate",,11,https://appsfomo.com/reviews/bellevue/,2020-07-10,https://1.envato.market/a1W9Lo,"Buy Now"
3580,Avada,,product,external,0,60,,"Wordpress Themes>Creative",ThemeFusion,12,https://appsfomo.com/reviews/avada/,2020-09-02,https://1.envato.market/Vy6vQM,"Buy Now"
