ID,Title,Sku,"Post Type","Product Type","Parent Product ID","Regular Price","Sale Price","Product categories",Brand,rank_math_seo_score
3365,Woffice,,product,external,0,79,,"Wordpress Themes>Corporate",,15
3367,Buddy,,product,external,0,199,,"Wordpress Themes>Multipurpose",,11
3369,Socialize,,product,external,0,199,,"Wordpress Themes>Multipurpose",,11
3371,WPLMS,,product,external,0,75,,"Wordpress Themes>Education &amp; Non profit",,11
3373,EducationPress,,product,external,0,59,,"Wordpress Themes>Education &amp; Non profit",,12
3375,Academy,,product,external,0,29,,"Wordpress Themes>Education &amp; Non profit",,11
3377,University,,product,external,0,49,,"Wordpress Themes>Education &amp; Non profit",,12
3379,LMS,,product,external,0,59,,"Wordpress Themes>Education &amp; Non profit",,12
3381,Porto,,product,external,0,59,,"Wordpress Themes>e-commerce",,11
3383,Blaszok,,product,external,0,47,,"Wordpress Themes>e-commerce",,11
3387,Atelier,,product,external,0,53,,"Wordpress Themes>e-commerce",,11
3389,Oxygen,,product,external,0,59,,"Wordpress Themes>e-commerce",,12
3391,Flatsome,,product,external,0,59,,"Wordpress Themes>e-commerce",,12
3393,Shopkeeper,,product,external,0,59,,"Wordpress Themes>e-commerce",,15
3395,"The Retailer",,product,external,0,59,,"Wordpress Themes>e-commerce",,11
3397,"Job Career",,product,external,0,69,,"Wordpress Themes>Corporate",,
3399,Fable,,product,external,0,59,,"Wordpress Themes>Education &amp; Non profit",,
3403,Karma,,product,external,0,49,,"Wordpress Themes>Corporate",,
3405,uDesign,,product,external,0,56,,"Wordpress Themes>Corporate",,
3407,"Home Villas",,product,external,0,59,,"Wordpress Themes>Business Themes",,
3409,Sahifa,,product,external,0,59,,"Wordpress Themes",,
3411,Gonzo,,product,external,0,49,,"Wordpress Themes>Blog / Magazine",,
3413,Modesto,,product,external,0,39,,"Wordpress Themes>Creative",,
3415,Joker,,product,external,0,59,,"Wordpress Themes>Creative",,
3417,Preschool,,product,external,0,59,,"Wordpress Themes>Education &amp; Non profit",Jwsthemes,
3419,EduCare,,product,external,0,39,,"Wordpress Themes>Education &amp; Non profit",,
3421,Universh,,product,external,0,59,,"Wordpress Themes>Education &amp; Non profit",,
3428,Falcons,,product,external,0,59,,"Wordpress Themes>Corporate",,
3430,Thrive,,product,external,0,67,,"Wordpress Themes>Multipurpose",Dunhakdis,
3433,NRGNetwork,,product,external,0,59,,"Wordpress Themes>Corporate",,
3435,Geeklove,,product,external,0,44,,"Wordpress Themes>Food, Lifestyle &amp; Health",,
3439,Aimer,,product,external,0,48,,"Wordpress Themes>Food, Lifestyle &amp; Health",3jon,
3441,Crown,,product,external,0,60,,"Wordpress Themes>Creative",,
3443,MediCenter,,product,external,0,59,,"Wordpress Themes>Food, Lifestyle &amp; Health",,
3445,MaxHost,,product,external,0,38,,"Wordpress Themes>Creative",,
3447,MedicalPress,,product,external,0,49,,"Wordpress Themes>Food, Lifestyle &amp; Health",,
3451,"Spa Lab",,product,external,0,59,,"Wordpress Themes>Food, Lifestyle &amp; Health",,
